readoutName,channelName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
RS0793,bit24,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),24,11,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,14,561
RS0805,bit25,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),25,12,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,14,561
RS0820,bit26,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),26,12,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,14,561
RS0896,bit27,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),27,13,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),13,14,561
RS0967,bit28,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),28,13,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),13,14,561
RS0994,bit29,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),29,14,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),14,14,561
RS0996,bit30,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),30,14,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),14,14,561
RS1040,bit31,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),31,15,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),15,14,561
RS1047,bit32,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),32,15,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),15,14,561
RS1199,bit33,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),33,16,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),16,14,561
RS1261,bit34,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),34,16,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),16,14,561
RS1312,bit35,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),35,17,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),17,14,561
RS1316,bit36,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),36,17,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),17,14,561
RS1326,bit37,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),37,18,650,[ 7  8  9 10 11 12 13],[9.  7.5 6.  4.5 3.  1.5 0. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),18,14,561
RS1334,bit38,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),38,18,750,[0 1 2 3 4 5 6],[0.  1.5 3.  4.5 6.  7.5 9. ],Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),18,14,561
polyT,polyT,Hal_config_750s1_650s1_560s1_488s7_405s7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),39,0,488,[3 4 5 6 7 8 9],[0.  1.5 3.  4.5 6.  7.5 9. ],Hal_config_750s1_650s1_560s1_488s7_405s7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,2,561
DAPI,DAPI,Hal_config_750s1_650s1_560s1_488s7_405s7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),40,0,405,[10 11 12 13 14 15 16],[9.  7.5 6.  4.5 3.  1.5 0. ],Hal_config_750s1_650s1_560s1_488s7_405s7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,2,561
